,MOF,gas,ppm,rep_id,slope,saturation,auc
0,Cu-HHTP,SO2,5,0,0.004648321670885876,2.394037837809428,2883.5815158253367
1,Cu-HHTP,SO2,5,1,0.004667806987661549,2.107920032448332,2529.4576492689635
2,Cu-HHTP,SO2,5,2,0.003194425058445155,2.7962113322454334,3285.7368877463223
3,Cu-HHTP,SO2,5,3,0.004508525654784094,3.1146506367396913,3838.723802441975
4,Cu-HHTP,SO2,10,0,0.01269986248457617,7.50724727499451,8532.473417828402
5,Cu-HHTP,SO2,10,1,0.012824937325262336,7.727430055216977,8853.108493409489
6,Cu-HHTP,SO2,10,2,0.013443165686682091,8.089011242836788,9310.781514707425
7,Cu-HHTP,SO2,10,3,0.009377487123498703,6.903249460159544,7724.0809190477885
8,Cu-HHTP,SO2,20,0,0.03329336622562691,16.056547288717994,20690.639102618556
9,Cu-HHTP,SO2,20,1,0.0333173177922684,15.980950459357164,20570.4031213153
10,Cu-HHTP,SO2,20,2,0.03194747020199649,15.142581365241707,19386.169521787288
11,Cu-HHTP,SO2,20,3,0.0385947235741187,16.96702422682187,21492.64337011273
12,Cu-HHTP,SO2,40,0,0.10042091069719956,25.540087813139483,39598.5066263549
13,Cu-HHTP,SO2,40,1,0.09970219345813815,25.49437736952821,39632.64805595002
14,Cu-HHTP,SO2,40,2,0.09669227065461346,24.962584111428544,38545.32845101318
15,Cu-HHTP,SO2,40,3,0.08963130492306973,25.06891811864674,37176.515989438165
16,Cu-HHTP,SO2,80,0,0.09679139514196504,18.52974312011226,28212.310502493685
17,Cu-HHTP,SO2,80,1,0.10218242282512173,18.83168840773753,28618.693973706697
18,Cu-HHTP,SO2,80,2,0.10329420716024076,18.634599415941263,27737.76555546225
19,Cu-HHTP,SO2,80,3,0.1036006931791536,18.32877741838035,26949.762011774157
20,Ni-HHTP,SO2,5,0,0.08775523314924578,48.82895389735826,62798.76712896013
21,Ni-HHTP,SO2,5,1,0.08007650054476914,48.54925064647768,62534.58330608317
22,Ni-HHTP,SO2,5,2,0.08660997244526694,47.33663554336611,61327.047118851726
23,Ni-HHTP,SO2,5,3,0.09340767401205818,47.532303262847016,61620.57840210826
24,Ni-HHTP,SO2,10,0,0.0361617203100557,21.844333569749534,25479.3492505236
25,Ni-HHTP,SO2,10,1,0.03442549275705275,22.000324310249333,26613.82822517604
26,Ni-HHTP,SO2,10,2,0.03108709814732932,21.737195257439105,25816.64209498504
27,Ni-HHTP,SO2,10,3,0.03860281180261101,21.85779036916655,25863.44396659751
28,Ni-HHTP,SO2,20,0,0.17110655143468914,47.26984594649407,65994.15919314735
29,Ni-HHTP,SO2,20,1,0.20066650650936074,48.48856019293135,68301.66809970874
30,Ni-HHTP,SO2,20,2,0.17446021152125293,47.590032410828236,66717.78357375562
31,Ni-HHTP,SO2,20,3,0.18377756171655693,47.67066997484156,67190.03821280452
32,Ni-HHTP,SO2,40,0,0.3565307976208792,55.329722589756265,82931.25947235475
33,Ni-HHTP,SO2,40,1,0.34383030688956884,56.086358849049034,79405.98271432685
34,Ni-HHTP,SO2,40,2,0.27083785628642704,57.73831393811614,87903.96740642052
35,Ni-HHTP,SO2,80,0,0.11395034407710918,45.43347062077563,60635.79347502207
36,Ni-HHTP,SO2,80,1,0.12025768616409978,46.03519049771684,61724.847730781075
37,Ni-HHTP,SO2,80,2,0.13119316849351598,45.172323369211774,60788.556567358
38,Ni-HHTP,SO2,80,3,0.11792839130455827,45.827087233133845,61124.104784144954
39,Zn-HHTP,SO2,5,0,0.004790760372186483,3.013837466536332,3348.4622278552033
40,Zn-HHTP,SO2,5,1,0.005189076673549204,2.8631577885885964,3300.7563713577847
41,Zn-HHTP,SO2,5,2,0.00522073188339139,1.6174397095010815,1568.5900490436939
42,Zn-HHTP,SO2,5,3,0.004844822334162705,1.7916521839879538,1943.47122653806
43,Zn-HHTP,SO2,10,0,0.00466215422466032,3.4309558971604512,3322.4452473368365
44,Zn-HHTP,SO2,10,1,0.004976091493649024,3.672159520390446,3720.5119407598218
45,Zn-HHTP,SO2,10,2,0.005609311210858033,3.1872155417483103,3270.9014091722916
46,Zn-HHTP,SO2,10,3,0.005057494181188396,3.2304510727430693,3383.3064066976203
47,Zn-HHTP,SO2,20,0,0.02845874518436866,14.76176023328199,18346.109799481892
48,Zn-HHTP,SO2,20,1,0.030287219517331418,15.074204853006698,18905.13304207314
49,Zn-HHTP,SO2,20,2,0.027573963659194678,14.688588638419183,18041.58466479819
50,Zn-HHTP,SO2,20,3,0.029948410032825883,14.810441170061836,18090.33605866773
