,MOF,ppm,rep_id,slope,saturation,auc
0,Cu-HHTP,0+5,0,0.004648321670885876,2.394037837809428,2883.5815158253367
1,Cu-HHTP,0+5,1,0.004667806987661549,2.107920032448332,2529.4576492689635
2,Cu-HHTP,0+5,2,0.003194425058445155,2.7962113322454334,3285.7368877463223
3,Cu-HHTP,0+5,3,0.004508525654784094,3.1146506367396913,3838.723802441975
4,Cu-HHTP,0+10,0,0.01269986248457617,7.50724727499451,8532.473417828402
5,Cu-HHTP,0+10,1,0.012824937325262336,7.727430055216977,8853.108493409489
6,Cu-HHTP,0+10,2,0.013443165686682091,8.089011242836788,9310.781514707425
7,Cu-HHTP,0+10,3,0.009377487123498703,6.903249460159544,7724.0809190477885
8,Cu-HHTP,0+20,0,0.03329336622562691,16.056547288717994,20690.639102618556
9,Cu-HHTP,0+20,1,0.0333173177922684,15.980950459357164,20570.4031213153
10,Cu-HHTP,0+20,2,0.03194747020199649,15.142581365241707,19386.169521787288
11,Cu-HHTP,0+20,3,0.0385947235741187,16.96702422682187,21492.64337011273
12,Cu-HHTP,0+40,0,0.08281994234100656,17.13821608869924,24354.362105645985
13,Cu-HHTP,0+40,1,0.07250164534041499,16.94058356997833,23766.484907377464
14,Cu-HHTP,0+40,2,0.06354590292478172,16.033736323246274,22251.173113937824
15,Cu-HHTP,0+40,3,0.07557271031418566,17.649758675467478,24707.4381578918
16,Cu-HHTP,5+0,0,0.20829943738167161,93.94802486037358,134957.21589485364
17,Cu-HHTP,5+0,1,0.17865245947199637,94.65679489489155,129443.36655434419
18,Cu-HHTP,5+0,2,0.3556645828335577,94.35688418864915,146382.8729481645
19,Cu-HHTP,5+0,3,0.2891329237964526,94.5585102106861,141538.38782323542
20,Cu-HHTP,10+0,0,0.3792686660563082,96.30488469890577,155648.58018523708
21,Cu-HHTP,10+0,1,0.29235552780541546,94.57306903790828,147001.19399986905
22,Cu-HHTP,10+0,2,0.2588319810666043,94.64123259868963,144890.04523251072
23,Cu-HHTP,20+0,0,0.598602326578684,96.63696815419581,159391.37896340422
24,Cu-HHTP,20+0,1,0.5406290814177985,96.51934134305247,156806.87246306633
25,Cu-HHTP,20+0,2,0.5970746274887826,97.03090404759436,159121.082641243
26,Cu-HHTP,20+0,3,0.5103077879213177,96.14855460090854,154349.6111043984
27,Cu-HHTP,40+0,0,1.329915506896082,89.57941709214593,151710.5593345743
28,Cu-HHTP,40+0,1,1.6119404743162473,93.27091447826928,160598.93271085597
29,Cu-HHTP,40+0,2,1.6440494956187535,91.8213759943688,157349.96341948412
30,Cu-HHTP,40+0,3,1.6825439113006333,94.1075013573168,161240.56460606045
31,Cu-HHTP,4+36,0,0.10625033819482178,94.27331124169059,102612.24121624495
32,Cu-HHTP,4+36,1,0.09484377785035228,94.4436112350165,97697.7476064064
33,Cu-HHTP,4+36,2,0.12939604763736132,93.57621661251461,108939.71799834263
34,Cu-HHTP,4+36,3,0.12057441186570633,94.63806986064178,106918.56014545554
35,Cu-HHTP,4+36,4,0.10968857253385488,94.85085823207109,103636.64147513147
36,Cu-HHTP,5+5,0,0.10227581678904019,90.81827103495492,108990.10744202291
37,Cu-HHTP,5+5,1,0.11248763671910528,91.34637828445426,113105.8688721255
38,Cu-HHTP,5+5,2,0.08828743611532965,89.08691016358415,100676.80162701974
39,Cu-HHTP,5+5,3,0.07174062733006632,81.88035488178724,87008.15044902259
40,Cu-HHTP,9+13,0,0.3774869242092385,92.27975724507554,143632.48099213946
41,Cu-HHTP,9+13,1,0.290866381139404,97.57702210138255,149411.3159048387
42,Cu-HHTP,9+13,2,0.29915052678772547,95.17714819280475,144805.3818257457
43,Cu-HHTP,9+13,3,0.26015492197131634,89.04748162849468,131470.62767476082
44,Cu-HHTP,9+13,4,0.33853752954047084,92.1073573772839,142181.2557623859
45,Cu-HHTP,13+27,0,0.2619294211844185,96.25150815032374,147837.03834993223
46,Cu-HHTP,13+27,1,0.242659896867228,97.30229133636368,147033.21321475084
47,Cu-HHTP,13+27,2,0.29929322214058995,96.73414324637407,150741.32740371776
48,Cu-HHTP,13+27,3,0.24522591791854326,96.92272627775363,147390.0956455613
49,Cu-HHTP,13+27,4,0.2852490339343785,96.72920534137745,149998.26965658477
50,Cu-HHTP,18+4,0,0.5737365624166437,96.79717238853465,157993.55469255184
51,Cu-HHTP,18+4,1,0.4433703322673291,97.15684464750444,155549.01109116207
52,Cu-HHTP,18+4,2,0.39943487987154885,96.79765982596994,153741.02227047767
53,Cu-HHTP,18+4,3,0.5425621274839436,96.61935390353635,157518.56207209846
54,Cu-HHTP,18+4,4,0.5795893863865131,96.57043242410327,158245.01928379212
55,Cu-HHTP,22+18,0,0.8032108921195307,97.82142588793529,165973.59562348848
56,Cu-HHTP,22+18,1,0.7550047105858171,97.7545642703418,165080.43067036563
57,Cu-HHTP,22+18,2,0.8546411404495149,97.15416343204554,165755.9585834263
58,Cu-HHTP,22+18,3,0.8505622426773445,97.65343332772242,166196.4874612363
59,Cu-HHTP,22+18,4,0.8153842324594596,97.69405538293978,166189.03710917645
60,Cu-HHTP,27+31,0,0.6831294119830421,97.26545733294986,163336.53255729628
61,Cu-HHTP,27+31,1,0.6000471780367094,96.04879420830646,159804.8564080848
62,Cu-HHTP,27+31,2,0.6798607107523474,97.5363240418603,163798.56091043493
63,Cu-HHTP,27+31,3,0.7264270581193709,97.42047873724935,164251.8820661523
64,Cu-HHTP,27+31,4,0.7832905909447199,97.34576054383531,164957.6825492769
65,Cu-HHTP,31+9,0,0.3478425405279479,97.4612344000533,156290.8254346941
66,Cu-HHTP,31+9,1,0.34898681388372094,97.24927996958446,155636.6909479376
67,Cu-HHTP,31+9,2,0.32983755085744176,97.26680952090449,155690.68923282978
68,Cu-HHTP,31+9,3,0.40997160008479183,97.29243610626804,158894.83693879284
69,Cu-HHTP,31+9,4,0.3649787405765259,97.39831817367441,157685.77740744164
70,Cu-HHTP,36+22,0,0.7916229027031387,98.34815149646802,168358.73539154552
71,Cu-HHTP,36+22,1,0.7321095950156008,98.27943667319674,166699.64549996026
72,Cu-HHTP,36+22,2,0.7750649947929081,98.20650518435153,167973.63939864025
73,Cu-HHTP,36+22,3,0.8086156177733117,97.99900680844517,167962.93185229023
74,Cu-HHTP,36+22,4,0.8878150092753273,98.14000783822853,168576.77749241568
75,Cu-HHTP,40+40,0,1.602374409170295,97.19458174384793,168825.04570737615
76,Cu-HHTP,40+40,1,1.2771797276499663,97.36071104761696,168800.38748450045
77,Cu-HHTP,40+40,2,1.4453844725226455,97.57784288536715,169481.99053684698
78,Cu-HHTP,40+40,3,1.5022096685365014,97.48710526449109,169255.51694970974
79,Ni-HHTP,0+5,0,0.08775523314924578,48.82895389735826,62798.76712896013
80,Ni-HHTP,0+5,1,0.08007650054476914,48.54925064647768,62534.58330608317
81,Ni-HHTP,0+5,2,0.08660997244526694,47.33663554336611,61327.047118851726
82,Ni-HHTP,0+5,3,0.09340767401205818,47.532303262847016,61620.57840210826
83,Ni-HHTP,0+10,0,0.0361617203100557,21.844333569749534,25479.3492505236
84,Ni-HHTP,0+10,1,0.03442549275705275,22.000324310249333,26613.82822517604
85,Ni-HHTP,0+10,2,0.03108709814732932,21.737195257439105,25816.64209498504
86,Ni-HHTP,0+10,3,0.03860281180261101,21.85779036916655,25863.44396659751
87,Ni-HHTP,0+20,0,0.17110655143468914,47.26984594649407,65994.15919314735
88,Ni-HHTP,0+20,1,0.20066650650936074,48.48856019293135,68301.66809970874
89,Ni-HHTP,0+20,2,0.17446021152125293,47.590032410828236,66717.78357375562
90,Ni-HHTP,0+20,3,0.18377756171655693,47.67066997484156,67190.03821280452
91,Ni-HHTP,0+40,0,0.3565307976208792,55.329722589756265,82931.25947235475
92,Ni-HHTP,0+40,1,0.34383030688956884,56.086358849049034,79405.98271432685
93,Ni-HHTP,0+40,2,0.27083785628642704,57.73831393811614,87903.96740642052
94,Ni-HHTP,5+0,0,0.07205367941153479,45.52389069452313,55375.195182435324
95,Ni-HHTP,5+0,1,0.057725102631120476,47.72700452870634,53860.62170447068
96,Ni-HHTP,5+0,2,0.07668347349758937,46.87428779429285,55161.68561471386
97,Ni-HHTP,5+0,3,0.08696393398811132,49.11979721971821,57692.559524845376
98,Ni-HHTP,10+0,0,0.032593213441121496,36.62455533998262,36036.367742465634
99,Ni-HHTP,10+0,1,0.03961741123942857,41.955751882707965,44365.23008611014
100,Ni-HHTP,10+0,2,0.04305467575945964,43.173146477724444,46770.18935982445
101,Ni-HHTP,10+0,3,0.04095247447144965,43.98212180597666,47852.468937437014
102,Ni-HHTP,20+0,0,0.10554250958007447,37.0402444414941,47735.384025986496
103,Ni-HHTP,20+0,1,0.10875622020797551,41.78251846547587,53571.27186375803
104,Ni-HHTP,20+0,2,0.09828302537121976,37.79285910818963,48031.235419539764
105,Ni-HHTP,40+0,0,0.22782849897227453,84.71275830594654,118983.08144532566
106,Ni-HHTP,40+0,1,0.20948530841341365,80.08383623000694,113501.76069557221
107,Ni-HHTP,40+0,2,0.2508478489470472,86.05727140032474,122843.1622262051
108,Ni-HHTP,40+0,3,0.23213308325298387,83.37771404371917,117101.45747486921
109,Ni-HHTP,4+36,0,0.4192915207398137,61.400815602376824,94576.73255808052
110,Ni-HHTP,4+36,1,0.38888693369054717,65.37013429809403,101994.58842600702
111,Ni-HHTP,4+36,2,0.40490438361236486,64.93685210468351,101237.19080286146
112,Ni-HHTP,4+36,3,0.4208448972833362,63.1719732896826,97891.35369986447
113,Ni-HHTP,4+36,4,0.41958585407102816,62.99346921815484,98790.36923247253
114,Ni-HHTP,5+5,0,0.02226343324594581,21.18895295850651,22996.21496412805
